date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:14:40	11158/11158	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2001%20Jun%202022%2007:53:16%20GMT	https://watracz.com/robots.txt		(from )
13:14:40	68288/-1	---M--	200	added ('OK')	text/html	date:Wed,%2001%20Jun%202022%2007:53:19%20GMT	https://watracz.com/	C:/Users/User/projects/rynawebsite/rynawebsite/watracz.com/index.html	(from )
13:14:40	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2011%20Apr%202023%2010:14:38%20GMT	http://watracz.com/assets/favicon/apple-touch-icon-57x57.png	C:/Users/User/projects/rynawebsite/rynawebsite/watracz.com/assets/favicon/apple-touch-icon-57x57.0.delayed	(from https://watracz.com/)
13:14:40	56909/56909	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2001%20Jun%202022%2007:53:16%20GMT	https://watracz.com/assets/favicon/apple-touch-icon-57x57.png	C:/Users/User/projects/rynawebsite/rynawebsite/watracz.com/assets/favicon/apple-touch-icon-57x57.png	(from https://watracz.com/)
13:14:41	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2011%20Apr%202023%2010:14:38%20GMT	http://watracz.com/assets/favicon/apple-touch-icon-60x60.png	C:/Users/User/projects/rynawebsite/rynawebsite/watracz.com/assets/favicon/apple-touch-icon-60x60.png	(from https://watracz.com/)
13:14:41	56909/56909	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2001%20Jun%202022%2007:53:16%20GMT	https://watracz.com/assets/favicon/apple-touch-icon-60x60.png	C:/Users/User/projects/rynawebsite/rynawebsite/watracz.com/assets/favicon/apple-touch-icon-60x60.png	(from https://watracz.com/)
13:14:41	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2011%20Apr%202023%2010:14:38%20GMT	http://watracz.com/assets/favicon/apple-touch-icon-72x72.png	C:/Users/User/projects/rynawebsite/rynawebsite/watracz.com/assets/favicon/apple-touch-icon-72x72.png	(from https://watracz.com/)
13:14:41	56909/56909	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2001%20Jun%202022%2007:53:16%20GMT	https://watracz.com/assets/favicon/apple-touch-icon-72x72.png	C:/Users/User/projects/rynawebsite/rynawebsite/watracz.com/assets/favicon/apple-touch-icon-72x72.png	(from https://watracz.com/)
13:14:42	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2011%20Apr%202023%2010:14:39%20GMT	http://watracz.com/assets/favicon/apple-touch-icon-76x76.png	C:/Users/User/projects/rynawebsite/rynawebsite/watracz.com/assets/favicon/apple-touch-icon-76x76.png	(from https://watracz.com/)
13:14:42	56909/56909	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2001%20Jun%202022%2007:53:16%20GMT	https://watracz.com/assets/favicon/apple-touch-icon-76x76.png	C:/Users/User/projects/rynawebsite/rynawebsite/watracz.com/assets/favicon/apple-touch-icon-76x76.png	(from https://watracz.com/)
13:14:42	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2011%20Apr%202023%2010:14:40%20GMT	http://watracz.com/assets/favicon/apple-touch-icon-114x114.png	C:/Users/User/projects/rynawebsite/rynawebsite/watracz.com/assets/favicon/apple-touch-icon-114x114.png	(from https://watracz.com/)
13:14:42	56909/56909	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2001%20Jun%202022%2007:53:16%20GMT	https://watracz.com/assets/favicon/apple-touch-icon-114x114.png	C:/Users/User/projects/rynawebsite/rynawebsite/watracz.com/assets/favicon/apple-touch-icon-114x114.png	(from https://watracz.com/)
13:14:43	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2011%20Apr%202023%2010:14:40%20GMT	http://watracz.com/assets/favicon/apple-touch-icon-120x120.png	C:/Users/User/projects/rynawebsite/rynawebsite/watracz.com/assets/favicon/apple-touch-icon-120x120.png	(from https://watracz.com/)
13:14:43	56909/56909	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2001%20Jun%202022%2007:53:16%20GMT	https://watracz.com/assets/favicon/apple-touch-icon-120x120.png	C:/Users/User/projects/rynawebsite/rynawebsite/watracz.com/assets/favicon/apple-touch-icon-120x120.png	(from https://watracz.com/)
13:14:43	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2011%20Apr%202023%2010:14:40%20GMT	http://watracz.com/assets/favicon/apple-touch-icon-144x144.png	C:/Users/User/projects/rynawebsite/rynawebsite/watracz.com/assets/favicon/apple-touch-icon-144x144.png	(from https://watracz.com/)
13:14:43	56909/56909	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2001%20Jun%202022%2007:53:16%20GMT	https://watracz.com/assets/favicon/apple-touch-icon-144x144.png	C:/Users/User/projects/rynawebsite/rynawebsite/watracz.com/assets/favicon/apple-touch-icon-144x144.png	(from https://watracz.com/)
13:14:44	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2011%20Apr%202023%2010:14:41%20GMT	http://watracz.com/assets/favicon/apple-touch-icon-152x152.png	C:/Users/User/projects/rynawebsite/rynawebsite/watracz.com/assets/favicon/apple-touch-icon-152x152.png	(from https://watracz.com/)
13:14:44	56909/56909	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2001%20Jun%202022%2007:53:16%20GMT	https://watracz.com/assets/favicon/apple-touch-icon-152x152.png	C:/Users/User/projects/rynawebsite/rynawebsite/watracz.com/assets/favicon/apple-touch-icon-152x152.png	(from https://watracz.com/)
13:14:44	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2011%20Apr%202023%2010:14:42%20GMT	http://watracz.com/assets/favicon/apple-touch-icon-180x180.png	C:/Users/User/projects/rynawebsite/rynawebsite/watracz.com/assets/favicon/apple-touch-icon-180x180.png	(from https://watracz.com/)
13:14:44	56909/56909	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2001%20Jun%202022%2007:53:16%20GMT	https://watracz.com/assets/favicon/apple-touch-icon-180x180.png	C:/Users/User/projects/rynawebsite/rynawebsite/watracz.com/assets/favicon/apple-touch-icon-180x180.png	(from https://watracz.com/)
13:14:45	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2011%20Apr%202023%2010:14:42%20GMT	http://watracz.com/assets/favicon/favicon-32x32.png	C:/Users/User/projects/rynawebsite/rynawebsite/watracz.com/assets/favicon/favicon-32x32.png	(from https://watracz.com/)
13:14:45	1464/1464	---M--	200	added ('OK')	image/png	date:Tue,%2025%20Sep%202018%2009:15:47%20GMT	https://watracz.com/assets/favicon/favicon-32x32.png	C:/Users/User/projects/rynawebsite/rynawebsite/watracz.com/assets/favicon/favicon-32x32.png	(from https://watracz.com/)
13:14:45	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2011%20Apr%202023%2010:14:42%20GMT	http://watracz.com/assets/favicon/android-chrome-192x192.png	C:/Users/User/projects/rynawebsite/rynawebsite/watracz.com/assets/favicon/android-chrome-192x192.png	(from https://watracz.com/)
13:14:45	3819/3819	---M--	200	added ('OK')	image/png	date:Tue,%2025%20Sep%202018%2009:15:47%20GMT	https://watracz.com/assets/favicon/android-chrome-192x192.png	C:/Users/User/projects/rynawebsite/rynawebsite/watracz.com/assets/favicon/android-chrome-192x192.png	(from https://watracz.com/)
13:14:45	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2011%20Apr%202023%2010:14:43%20GMT	http://watracz.com/assets/favicon/favicon-16x16.png	C:/Users/User/projects/rynawebsite/rynawebsite/watracz.com/assets/favicon/favicon-16x16.png	(from https://watracz.com/)
13:14:46	960/960	---M--	200	added ('OK')	image/png	date:Tue,%2025%20Sep%202018%2009:15:47%20GMT	https://watracz.com/assets/favicon/favicon-16x16.png	C:/Users/User/projects/rynawebsite/rynawebsite/watracz.com/assets/favicon/favicon-16x16.png	(from https://watracz.com/)
13:14:46	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2011%20Apr%202023%2010:14:43%20GMT	http://watracz.com/site.webmanifest	C:/Users/User/projects/rynawebsite/rynawebsite/watracz.com/site.webmanifest	(from https://watracz.com/)
13:14:46	1481/1481	---M--	200	added ('OK')	text/html	date:Fri,%2028%20Sep%202018%2016:06:32%20GMT	https://watracz.com/site.webmanifest	C:/Users/User/projects/rynawebsite/rynawebsite/watracz.com/site.html	(from https://watracz.com/)
13:14:46	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2011%20Apr%202023%2010:14:44%20GMT	http://watracz.com/assets/favicon/safari-pinned-tab.svg	C:/Users/User/projects/rynawebsite/rynawebsite/watracz.com/assets/favicon/safari-pinned-tab.svg	(from https://watracz.com/)
13:14:46	3475/3475	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2025%20Sep%202018%2009:15:47%20GMT	https://watracz.com/assets/favicon/safari-pinned-tab.svg	C:/Users/User/projects/rynawebsite/rynawebsite/watracz.com/assets/favicon/safari-pinned-tab.svg	(from https://watracz.com/)
13:14:47	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2011%20Apr%202023%2010:14:44%20GMT	http://watracz.com/assets/favicon/favicon.ico	C:/Users/User/projects/rynawebsite/rynawebsite/watracz.com/assets/favicon/favicon.ico	(from https://watracz.com/)
13:14:47	15086/15086	---M-Z	200	added ('OK')	image/x-icon	date:Tue,%2025%20Sep%202018%2009:15:47%20GMT	https://watracz.com/assets/favicon/favicon.ico	C:/Users/User/projects/rynawebsite/rynawebsite/watracz.com/assets/favicon/favicon.ico	(from https://watracz.com/)
